ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	POS
Swadesh-1955-100-39	1408	HEAR	39	hear	VERB
Swadesh-1955-100-40	1223	HEART	40	heart	NOUN
Swadesh-1955-100-41	1393	HORN (ANATOMY)	41	*horn	NOUN
Swadesh-1955-100-42	1209	I	42	I	PRON
Swadesh-1955-100-43	1417	KILL	43	kill	VERB
Swadesh-1955-100-44	1371	KNEE	44	*knee	NOUN
Swadesh-1955-100-45	1410	KNOW (SOMETHING)	45	know	VERB
Swadesh-1955-100-46	628	LEAF	46	leaf	NOUN
Swadesh-1955-100-47	1411	LIE (REST)	47	lie	VERB
Swadesh-1955-100-48	1224	LIVER	48	liver	NOUN
Swadesh-1955-100-49	1203	LONG	49	long	ADJ
Swadesh-1955-100-50	1392	LOUSE	50	louse	NOUN
Swadesh-1955-100-51	1554	MAN	51	man	NOUN
Swadesh-1955-100-52	1198	MANY	52	many	ADJ
Swadesh-1955-100-53	2615	FLESH OR MEAT	53	meat (flesh)	NOUN
Swadesh-1955-100-54	1313	MOON	54	*moon	NOUN
Swadesh-1955-100-55	639	MOUNTAIN	55	mountain	NOUN
Swadesh-1955-100-56	674	MOUTH	56	mouth	NOUN
Swadesh-1955-100-57	1405	NAME	57	name	NOUN
Swadesh-1955-100-58	1333	NECK	58	neck	NOUN
Swadesh-1955-100-59	1231	NEW	59	new	ADJ
Swadesh-1955-100-60	1233	NIGHT	60	night	NOUN
Swadesh-1955-100-61	1221	NOSE	61	nose	NOUN
Swadesh-1955-100-62	1240	NOT	62	not	ADV
Swadesh-1955-100-63	1493	ONE	63	one	NOUN
Swadesh-1955-100-64	683	PERSON	64	person (human being)	NOUN
Swadesh-1955-100-65	2108	RAINING OR RAIN	65	rain	VERB
Swadesh-1955-100-66	156	RED	66	red	ADJ
Swadesh-1955-100-67	667	ROAD	67	road (path)	NOUN
Swadesh-1955-100-68	670	ROOT	68	root	NOUN
Swadesh-1955-100-69	1395	ROUND	69	*round	ADJ
Swadesh-1955-100-70	671	SAND	70	sand	NOUN
Swadesh-1955-100-71	1458	SAY	71	*say	VERB
Swadesh-1955-100-72	1409	SEE	72	see	VERB
Swadesh-1955-100-73	714	SEED	73	seed	NOUN
Swadesh-1955-100-74	1416	SIT	74	sit	VERB
Swadesh-1955-100-75	763	SKIN	75	skin	NOUN
Swadesh-1955-100-76	1585	SLEEP	76	sleep	VERB
Swadesh-1955-100-77	1246	SMALL	77	small	ADJ
Swadesh-1955-100-78	778	SMOKE (EXHAUST)	78	smoke	NOUN
Swadesh-1955-100-79	1442	STAND	79	stand	VERB
Swadesh-1955-100-80	1430	STAR	80	star	NOUN
Swadesh-1955-100-81	857	STONE	81	stone	NOUN
Swadesh-1955-100-82	1343	SUN	82	sun	NOUN
Swadesh-1955-100-83	1439	SWIM	83	swim	VERB
Swadesh-1955-100-84	1220	TAIL	84	tail	NOUN
Swadesh-1955-100-85	78	THAT	85	that	ADV
Swadesh-1955-100-86	1214	THIS	86	this	ADV
Swadesh-1955-100-87	1215	THOU	87	thou	PRON
Swadesh-1955-100-88	1205	TONGUE	88	tongue	NOUN
Swadesh-1955-100-89	1380	TOOTH	89	tooth	NOUN
Swadesh-1955-100-90	906	TREE	90	tree	NOUN
Swadesh-1955-100-91	1498	TWO	91	two	NOUN
Swadesh-1955-100-92	1443	WALK	92	walk	VERB
Swadesh-1955-100-93	2272	HOT OR WARM	93	warm (hot)	ADJ
Swadesh-1955-100-94	948	WATER	94	water	NOUN
Swadesh-1955-100-95	1212	WE	95	we	PRON
Swadesh-1955-100-96	1236	WHAT	96	what	ADV
Swadesh-1955-100-97	1335	WHITE	97	white	ADJ
Swadesh-1955-100-98	1235	WHO	98	who	ADV
Swadesh-1955-100-99	962	WOMAN	99	woman	NOUN
Swadesh-1955-100-100	1424	YELLOW	100	yellow	ADJ
