ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	POS
Swadesh-1952-200-1	98	ALL	1	all (of a number)	ADV
Swadesh-1952-200-2	1577	AND	2	and	CCONJ
Swadesh-1952-200-3	619	ANIMAL	3	animal	NOUN
Swadesh-1952-200-4	646	ASH	4	ashes	NOUN
Swadesh-1952-200-5	1461	AT	5	at	ADV
Swadesh-1952-200-6	1291	BACK	6	back (person's)	NOUN
Swadesh-1952-200-7	1292	BAD	7	bad (deleterious or unsuitable)	ADJ
Swadesh-1952-200-8	1204	BARK	8	bark	NOUN
Swadesh-1952-200-9	1157	BECAUSE	9	because	ADV
Swadesh-1952-200-10	1251	BELLY	10	belly	NOUN
Swadesh-1952-200-11	904	BERRY	11	berry (or fruit)	NOUN
Swadesh-1952-200-12	1202	BIG	12	big	ADJ
Swadesh-1952-200-13	937	BIRD	13	bird	NOUN
Swadesh-1952-200-14	1403	BITE	14	to bite	VERB
Swadesh-1952-200-15	163	BLACK	15	black	ADJ
Swadesh-1952-200-16	946	BLOOD	16	blood	NOUN
Swadesh-1952-200-17	175	BLOW (OF WIND)	17	to blow (of wind)	VERB
Swadesh-1952-200-18	1394	BONE	18	bone	NOUN
Swadesh-1952-200-19	1407	BREATHE	19	to breathe	VERB
Swadesh-1952-200-20	1428	BURNING	20	to burn (intrans)	VERB
Swadesh-1952-200-21	1304	CHILD (YOUNG HUMAN)	21	child (young person rather than as relationship term)	NOUN
Swadesh-1952-200-22	1489	CLOUD	22	cloud	NOUN
Swadesh-1952-200-23	2483	COLD (OF WEATHER)	23	cold (of weather)	ADJ
Swadesh-1952-200-24	1446	COME	24	to come	VERB
Swadesh-1952-200-25	1420	COUNT	25	to count	VERB
Swadesh-1952-200-26	1432	CUT	26	to cut	VERB
Swadesh-1952-200-27	1225	DAY (NOT NIGHT)	27	day (opposite of night rather than time measure)	NOUN
Swadesh-1952-200-28	1494	DIE	28	to die	VERB
Swadesh-1952-200-29	1418	DIG	29	to dig	VERB
Swadesh-1952-200-30	1230	DIRTY	30	dirty	ADJ
Swadesh-1952-200-31	2009	DOG	31	dog	NOUN
Swadesh-1952-200-32	1401	DRINK	32	to drink	VERB
Swadesh-1952-200-33	1398	DRY	33	dry (substance)	ADJ
Swadesh-1952-200-34	379	BLUNT	34	dull (knife)	ADJ
Swadesh-1952-200-35	2	DUST	35	dust	NOUN
Swadesh-1952-200-36	1247	EAR	36	ear	NOUN
Swadesh-1952-200-37	1228	EARTH (SOIL)	37	earth (soil)	NOUN
Swadesh-1952-200-38	1336	EAT	38	to eat	VERB
Swadesh-1952-200-39	744	EGG	39	egg	NOUN
Swadesh-1952-200-40	1248	EYE	40	eye	NOUN
Swadesh-1952-200-41	1280	FALL	41	to fall (drop rather than topple)	VERB
Swadesh-1952-200-42	1406	FAR	42	far	ADJ
Swadesh-1952-200-43	323	FAT (ORGANIC SUBSTANCE)	43	fat (organic substance)	NOUN
Swadesh-1952-200-44	1217	FATHER	44	father	NOUN
Swadesh-1952-200-45	1419	FEAR (BE AFRAID)	45	to fear	VERB
Swadesh-1952-200-46	1201	FEATHER	46	feather (larger feathers rather than down)	NOUN
Swadesh-1952-200-47	1242	FEW	47	few	ADJ
Swadesh-1952-200-48	1423	FIGHT	48	to fight	VERB
Swadesh-1952-200-49	221	FIRE	49	fire	NOUN
Swadesh-1952-200-50	227	FISH	50	fish	NOUN
Swadesh-1952-200-51	493	FIVE	51	five	NOUN
Swadesh-1952-200-52	1574	FLOAT	52	to float	VERB
Swadesh-1952-200-53	2003	FLOW	53	to flow	VERB
Swadesh-1952-200-54	239	FLOWER	54	flower	NOUN
